id_user,timestamp,source,message,category
4133,11/1/2024,livechat,"""That percentage. Bar has not moved hundreds dollars sits there does it work""",Irrelevant/Other
4958,11/1/2024,livechat,"""\nNone of those reasons applied to me, so can you please check my deposit?""",Deposit/Payment Issues
2623,11/1/2024,livechat,"""PLEASE CONFIRM I DID NOT QUALIFY FOR WEEKILY CASHBACK""",Bonuses/Promotions Issues
4411,11/1/2024,livechat,"""All good for now""",Irrelevant/Other
4756,11/1/2024,livechat,"""I wouldn't have wasted my money like that""",Irrelevant/Other
4134,11/1/2024,livechat,"""Now it says this when I try to play""",Irrelevant/Other
4684,11/1/2024,livechat,"""All you said was both my utility bills were dejected!""",Irrelevant/Other
4857,11/1/2024,livechat,"""I don't know what else to give you!""",Irrelevant/Other
4429,11/1/2024,livechat,"""It says my account is disabled""",Account/Login Issues
4324,11/1/2024,livechat,"""Credit card australian dollars""",Deposit/Payment Issues
1327,11/1/2024,livechat,"""Ok again thx""",Irrelevant/Other
4342,11/1/2024,livechat,"""\nI want to withdraw to telegram wallet""",Withdrawal/Cashout Issues
72,11/1/2024,telegram,"""Never got my free play after my last bitcoin deposit""",Deposit/Payment Issues
4938,11/1/2024,livechat,"""Sweet I’ll just report it then""",Irrelevant/Other
5391,11/1/2024,livechat,"""I live in the USA""",Irrelevant/Other
1666,11/2/2024,livechat,"""I got kicked off the game and when I lived back in it wwast there""",Gameplay/Technical Issues
4640,11/2/2024,livechat,"""Send me to someone else""",Irrelevant/Other
4834,11/2/2024,livechat,"""I’m sorry what is the fiat view""",Irrelevant/Other
5266,11/2/2024,livechat,"""None of this applies to me.""",Irrelevant/Other
5050,11/2/2024,livechat,"""ok as you say.""",Irrelevant/Other
2782,11/2/2024,livechat,"""If you don't mind checking please""",Irrelevant/Other
5514,11/2/2024,livechat,"""I cant enter website""",Irrelevant/Other
4741,11/2/2024,livechat,"""Oh okay then, thanks for help tho!, that was All I had 🙂""",Irrelevant/Other
4729,11/2/2024,livechat,"""Is there 100 free spin sign up bonus""",Bonuses/Promotions Issues
5152,11/2/2024,livechat,"""because they were credited immediately then""",Irrelevant/Other
5465,11/2/2024,livechat,"""What time did I make the deposit""",Deposit/Payment Issues
4747,11/2/2024,livechat,"""that’s why I chatted in to ask when they’d be credited.  I don’t have special needs, if they were showing as expired I wouldn’t ask when they’ll be credited.  I would’ve asked for an exception""",Irrelevant/Other
4507,11/2/2024,livechat,"""maybe I bet too much""",Irrelevant/Other
1498,11/2/2024,livechat,"""it was buy bonues""",Irrelevant/Other
5256,11/2/2024,livechat,"""Are you guys gonna put money in my fucking account because of your game glitching I bet fucking not""",Account/Login Issues
268,11/2/2024,telegram,"""I was. Credited 60 an I activated it but it d not showing up""",Irrelevant/Other
4954,11/2/2024,livechat,"""No that's all""",Irrelevant/Other
752,11/2/2024,livechat,"""I had wagered through""",Irrelevant/Other
4566,11/2/2024,livechat,"""can i get some free spins please""",Bonuses/Promotions Issues
5098,11/2/2024,livechat,"""The spins wasn’t working so I canceled them bc I thot it would come thru after..""",Gameplay/Technical Issues
1934,11/2/2024,livechat,"""Hello Paul""",Irrelevant/Other
2318,11/2/2024,livechat,"""Deactivated""",Irrelevant/Other
4737,11/2/2024,livechat,"""It even said it on your signup page""",Irrelevant/Other
4495,11/2/2024,livechat,"""It went straight to you""",Irrelevant/Other
5474,11/2/2024,livechat,"""Can you send me new ppasdword""",Irrelevant/Other
4526,11/2/2024,livechat,"""I need to speak with someone higher up cause this is bs""",Irrelevant/Other
1861,11/2/2024,livechat,"""I was wondering how to I claim the second part of my welcome package? Last time for the first part you guys manually entered my free spins""",Bonuses/Promotions Issues
5237,11/2/2024,livechat,"""entering into our country and stealing the money. it's a violation to the country laws and harming the country economy and potentially committing financial frauds and thefts""",Irrelevant/Other
302,11/2/2024,telegram,"""Expired. I just received them a few days ago. I cannot use them until I am either out of funds or cash out correct? I work on receiving those by playing real money. Why would they expire so quickly before I get a chance to use them?""",Deposit/Payment Issues
302,11/2/2024,telegram,"""Hello, I had 20, 30 & 75 free spins. They have been removed from my account. Please advise.""",Account/Login Issues
4668,11/2/2024,livechat,"""Hi was in a bonus and it didn’t pay me my winnings""",Bonuses/Promotions Issues
2047,11/2/2024,livechat,"""It was to u guys""",Irrelevant/Other
5045,11/2/2024,livechat,"""Ok thankyou""",Irrelevant/Other
1232,11/2/2024,telegram,"""I tried to withdrawl money from your site it says on my transactiion it was cancelled""",Withdrawal/Cashout Issues
176,11/2/2024,telegram,"""Hello I know how to find the equivalent code the second three bonuses and I do not know how to do please and we hope to help""",Bonuses/Promotions Issues
176,11/2/2024,telegram,"""I wish to help me to know where the reward code is""",Irrelevant/Other
2939,11/2/2024,livechat,"""I sent 6 or 7 yesterday""",Irrelevant/Other
5662,11/2/2024,livechat,"""One second I'll get it for you""",Irrelevant/Other
68,11/2/2024,telegram,"""I figured :/ thanks anyways ❤️""",Irrelevant/Other
2947,11/2/2024,livechat,"""About the VIP program""",Irrelevant/Other
5657,11/2/2024,livechat,"""Do you have a data leak? Why am i getting this""",Irrelevant/Other
1213,11/2/2024,telegram,"""I never received my deposit from moonpay""",Deposit/Payment Issues
1833,11/2/2024,livechat,"""Where and how?""",Irrelevant/Other
4760,11/2/2024,livechat,"""I cant ringt in english  sorry bur you can translater""",Irrelevant/Other
1277,11/2/2024,telegram,"""what other accounts are linked""",Account/Login Issues
5104,11/2/2024,livechat,"""It’s not about that it’s about the algorithm""",Irrelevant/Other
6142,11/2/2024,livechat,"""I appreciate that was just sensing to cover my basis thanks again I’ll be despairing again soon gotta get that next level lol""",Irrelevant/Other
5642,11/2/2024,livechat,"""I would like to close/delete my account""",Account/Login Issues
4785,11/2/2024,livechat,"""I have been using this site long time so I know when to get them or what not""",Irrelevant/Other
5493,11/2/2024,livechat,"""n then its not there""",Irrelevant/Other
1468,11/2/2024,livechat,"""Can you say me where is my lvl up bonus?""",Bonuses/Promotions Issues
3772,11/2/2024,livechat,"""It has been over an hour""",Irrelevant/Other
5055,11/2/2024,livechat,"""I think i dont get them :(""",Irrelevant/Other
5959,11/3/2024,livechat,"""the game with 163 won""",Gameplay/Technical Issues
1292,11/3/2024,telegram,"""Did u enjoy our chat?""",Irrelevant/Other
5173,11/3/2024,livechat,"""And that’s fine but you stated above that “as far as you can see the games paid me accordingly”""",Gameplay/Technical Issues
2191,11/3/2024,livechat,"""Also had a couple identity breaches""",Irrelevant/Other
4835,11/3/2024,livechat,"""It said cash out time 6 mins""",Irrelevant/Other
5206,11/3/2024,livechat,"""Hi I’m trying to activate my 20 free spins and once I select game it just won’t load is there something wrong with your end or can you help me activate""",Bonuses/Promotions Issues
493,11/3/2024,livechat,"""i clicked on the 25 free spins in my account rewarda but it isnt doing the bonus spins?""",Account/Login Issues
4290,11/3/2024,livechat,"""Yesterday I tried to cash out""",Irrelevant/Other
130,11/3/2024,telegram,"""That doesnt make any sense whatsoever there is no logic in that and the fact that you are secretive about it makes it seem unjust especially when it's going incredibly slow ...  I had to have spent close to 500$ if not more to get 65 percent of the way there? Guaranteed out of the 100 spins I will win about thirty six cents.""",Gameplay/Technical Issues
1300,11/3/2024,telegram,"""I activated my 100 free spins but I had to refresh my page after only 3 but when I did the rest of my free spins aren’t loading""",Bonuses/Promotions Issues
1300,11/3/2024,telegram,"""I tried everything you suggested and they still don’t work""",Irrelevant/Other
5954,11/3/2024,livechat,"""I tried all that""",Irrelevant/Other
5848,11/3/2024,livechat,"""I’m in Australia""",Irrelevant/Other
1367,11/3/2024,livechat,"""it is saying my account is dissabled""",Account/Login Issues
3773,11/3/2024,livechat,"""I have since made a new account but I'm very hesitant to even use your site anymore""",Account/Login Issues
4682,11/3/2024,livechat,"""Give me mynmoney""",Irrelevant/Other
5439,11/3/2024,livechat,"""my friends in Australia can login""",Account/Login Issues
4971,11/3/2024,livechat,"""You said jack can you.please release.my account free ? You guys locked it up a few days back but I am hoping with time for good behavior you will consider nearly release""",Account/Login Issues
6075,11/3/2024,livechat,"""Yes it's my friend's WiFi""",Irrelevant/Other
5201,11/3/2024,livechat,"""Can I ask that when ur talking to me that u actrully only talk to me""",Irrelevant/Other
577,11/3/2024,livechat,"""Hey Adam are second chance spins going out soon""",Gameplay/Technical Issues
5638,11/3/2024,livechat,"""Why is my pending deposit link coming up to a page showing a error""",Deposit/Payment Issues
5109,11/3/2024,livechat,"""  If it did just cancel my account olease""",Account/Login Issues
956,11/3/2024,telegram,"""I sent some XRP from wallet to my account but did not see the memo before sending.... will this still credit to my account?""",Account/Login Issues
5927,11/3/2024,livechat,"""Because it’s impossible to win and I don’t feel like wasting anymore money""",Irrelevant/Other
5137,11/3/2024,livechat,"""But when I don’t have the amount on my account to bet it will not bet /spin and I did not have 5000 to bet in the first place it was chosen in error so why did it dpin""",Account/Login Issues
2001,11/3/2024,livechat,"""Thus making it where people don't have to do this every time they are confused and or wondering why they have became an inactive player all of a sudden""",Irrelevant/Other
4897,11/3/2024,livechat,"""Aha now i got it""",Irrelevant/Other
5540,11/3/2024,livechat,"""Whaaaa I only have one account""",Account/Login Issues
5333,11/3/2024,livechat,"""I haven’t received the money back from a deposit I attempted. It was deducted from my account - I will show you the screenshot""",Account/Login Issues
3122,11/3/2024,livechat,"""My identity was frauded barely got my credit card in mail""",Deposit/Payment Issues
6205,11/3/2024,livechat,"""is that it?""",Irrelevant/Other
6138,11/3/2024,livechat,"""will I lose the bonus money?""",Bonuses/Promotions Issues
5724,11/3/2024,livechat,"""Hello I was promised 100 free spinn by signing up.  I just receive 20?""",Gameplay/Technical Issues
5705,11/3/2024,livechat,"""what region can I use I have vpn""",Irrelevant/Other
1321,11/3/2024,telegram,"""When I log in it says there is account issues detected at the top of my screen in a red box""",Account/Login Issues
6273,11/3/2024,livechat,"""I know I havnt got my bonus after i made a deposit for it in that timeframe""",Deposit/Payment Issues
5219,11/3/2024,livechat,"""no one else has logged in to my internett adress, and i’ve only played at my Internett. This is so wrong""",Irrelevant/Other
5069,11/3/2024,livechat,"""when do I Get or back then?""",Irrelevant/Other
2076,11/3/2024,livechat,"""I van ask.somebody why my transactjon is still pending?""",Irrelevant/Other
6159,11/3/2024,livechat,"""I don't see it""",Irrelevant/Other
1327,11/3/2024,telegram,"""Because I can not deposit using the card option as it has been taken away a while ago and I do not know how to use cryptocurrency""",Deposit/Payment Issues
1893,11/3/2024,livechat,"""I know I glitched or got robbed""",Irrelevant/Other
6176,11/3/2024,livechat,"""Hi I remove daily limit get emeil clicking and it’s not remove show""",Irrelevant/Other
6074,11/3/2024,livechat,"""Then you is it that the promotion that i used said 100 free spins not 20""",Bonuses/Promotions Issues
5221,11/3/2024,livechat,"""So when do I get my bonus""",Bonuses/Promotions Issues
6063,11/3/2024,livechat,"""can I send to casino email address directly""",Irrelevant/Other
5656,11/3/2024,livechat,"""said that can not send and was on red""",Irrelevant/Other
4978,11/3/2024,livechat,"""Hi , why isint the Monday bonus showing up for me ?""",Bonuses/Promotions Issues
5483,11/3/2024,livechat,"""It was still active and I didn’t receive the promotion""",Bonuses/Promotions Issues
2061,11/3/2024,livechat,"""I'm deposited like 30 minutes ago it has like six confirmations but I don't see in my account""",Account/Login Issues
6159,11/3/2024,livechat,"""It gives an option of Coinbase or it looks like a bitcoin symbol and an address. Do I click the bitcoin symbol address not Coinbase? Sorry.""",Irrelevant/Other
1281,11/3/2024,livechat,"""bit starz treasures with ltc coin""",Irrelevant/Other
5803,11/4/2024,livechat,"""I did so but it wasn't a code""",Irrelevant/Other
5157,11/4/2024,livechat,"""Hi I cashed out last week Thursday, I had to infill new details because my previous ones were no longer there. The cash out has been cashed out since Thursday and I’m still yet to receive it in my account""",Account/Login Issues
5092,11/4/2024,livechat,"""Quiero jugar desde españa y no me deja""",Irrelevant/Other
5453,11/4/2024,livechat,"""it was very fast and i was happy""",Irrelevant/Other
5648,11/4/2024,livechat,"""Hi im sorry this is the 3rd or 4th time they connect me to a speciist""",Irrelevant/Other
6102,11/4/2024,livechat,"""I mean they didn't give me free games today they usually give me when I deposit.""",Deposit/Payment Issues
579,11/4/2024,livechat,"""What.... why would your system allow that to happen this is faulty""",Irrelevant/Other
5357,11/4/2024,livechat,""" I tried uploading a pdf version but it will not download""",Gameplay/Technical Issues
756,11/4/2024,livechat,"""What's that mean?""",Irrelevant/Other
5253,11/4/2024,livechat,"""What size?""",Irrelevant/Other
5074,11/4/2024,livechat,"""No that will be it but it won't let me go to the top of the page to to leave a like by your name??""",Irrelevant/Other
5632,11/4/2024,livechat,"""Ok I will do that now""",Irrelevant/Other
6012,11/4/2024,livechat,"""didn’t get that option""",Irrelevant/Other
5425,11/4/2024,livechat,"""why did you just lie to me tho""",Irrelevant/Other
5645,11/4/2024,livechat,"""Well, I have to sign that it was sent""",Irrelevant/Other
2201,11/4/2024,livechat,"""I want talk somebody about cashout""",Withdrawal/Cashout Issues
925,11/4/2024,livechat,"""Ok to not bother you..most easy way is new id new acc and play..tnx on answers""",Irrelevant/Other
5199,11/4/2024,livechat,"""No there hasn’t been""",Irrelevant/Other
6416,11/4/2024,livechat,"""Hi, I’m trying to do a withdrawal but it’s not remembering my bank transfer details and I wanted to know why""",Withdrawal/Cashout Issues
2399,11/4/2024,livechat,"""Yes but is almose 24h and is still pending and i dont get any email what is the reason""",Irrelevant/Other
4999,11/4/2024,livechat,"""Am i doing something wrong here or wats the deal? I don't wanna miss out on the sign up fs bonus 🙄""",Bonuses/Promotions Issues
5925,11/4/2024,livechat,"""Iok thank you as the options to withdraw had changed""",Withdrawal/Cashout Issues
1627,11/4/2024,livechat,"""I didn't see any of my bonuses except for one""",Bonuses/Promotions Issues
6396,11/4/2024,livechat,"""It's been 90 minutes since I requested it, are you sure everything is ok?""",Irrelevant/Other
5228,11/4/2024,livechat,"""Hey Sean, how are you?""",Irrelevant/Other
4223,11/4/2024,livechat,"""Only with my New card""",Irrelevant/Other
6302,11/4/2024,livechat,"""Hi  I was sent this promo to email and it doesn't seem to be working""",Irrelevant/Other
6161,11/4/2024,livechat,"""It says everything went well""",Irrelevant/Other
2625,11/4/2024,livechat,"""hi i have a really big problem""",Irrelevant/Other
5712,11/4/2024,livechat,"""What about the week before that""",Irrelevant/Other
4909,11/4/2024,livechat,"""this is a really bad platform""",Irrelevant/Other
6092,11/4/2024,livechat,"""Yes one moment please""",Irrelevant/Other
6261,11/4/2024,livechat,"""hello is allteady opening mi account.""",Account/Login Issues
5266,11/4/2024,livechat,"""Free spins""",Bonuses/Promotions Issues
5696,11/4/2024,livechat,"""I’m not used to minimum requirements on the amount of crypto I need to send and sent less than the minimum for bnb coin""",Irrelevant/Other
2214,11/4/2024,livechat,"""still here and 1 is gone""",Irrelevant/Other
6101,11/4/2024,livechat,"""How to play""",Irrelevant/Other
6537,11/4/2024,livechat,"""Ok so i convert to eth erc-20 at the same time""",Irrelevant/Other
6039,11/4/2024,livechat,"""reenable my accoun""",Irrelevant/Other
5149,11/4/2024,livechat,"""whats your position""",Irrelevant/Other
5111,11/4/2024,livechat,"""in my email. and I would like to know how to activate it because I went to make a deposit, I entered the code and it says it was not registered. and so I did nothing and sent to you. what should i do?""",Deposit/Payment Issues
6318,11/4/2024,livechat,"""So when I try to log in it keeps saying wrong password try again""",Account/Login Issues
2503,11/4/2024,livechat,"""Hello nova""",Irrelevant/Other
6142,11/5/2024,livechat,"""My free ten spins""",Gameplay/Technical Issues
5469,11/5/2024,livechat,"""Nvm I got what you said thank u it's working now""",Irrelevant/Other
6419,11/5/2024,livechat,"""hey i didnt get my weekly free spins""",Bonuses/Promotions Issues
146,11/5/2024,telegram,"""It is in blockchain""",Irrelevant/Other
5678,11/5/2024,livechat,"""I was logged out bc I sent btc transaction twice""",Irrelevant/Other
6144,11/5/2024,livechat,"""Yes l have checked""",Irrelevant/Other
5777,11/5/2024,livechat,"""Alright thank you""",Irrelevant/Other
5944,11/5/2024,livechat,"""OK hold on""",Irrelevant/Other
5751,11/5/2024,livechat,"""ol ill upload it again then ;-)""",Irrelevant/Other
506,11/5/2024,livechat,"""Cuz I didn't receive it in my account I didn't receive it in my account""",Account/Login Issues
5455,11/5/2024,livechat,"""Still facing issues""",Irrelevant/Other
6072,11/5/2024,livechat,"""It's a scam. Nobody gets paid from \""free sign up spins\""""",Gameplay/Technical Issues
5700,11/5/2024,livechat,"""I made a transfer""",Withdrawal/Cashout Issues
5196,11/5/2024,livechat,"""after but got that""",Irrelevant/Other
6520,11/5/2024,livechat,"""Okay great thank you""",Irrelevant/Other
2218,11/5/2024,livechat,"""I clicked yes to the offer then deposited 150""",Deposit/Payment Issues
5366,11/5/2024,livechat,"""Are you joking me? You can't provide anything?""",Irrelevant/Other
1774,11/5/2024,livechat,"""Its Monday where I live""",Irrelevant/Other
6655,11/5/2024,livechat,"""Are you going to answer me or what""",Irrelevant/Other
6579,11/5/2024,livechat,"""No, if it’s a technical issue then I want my fucking money back all thousand dollars of it""",Irrelevant/Other
6042,11/5/2024,livechat,"""I would like to request a CASH BONUS based on my consistent PLAY FOR ALMOST A YEAR!! I have never withdrawn!!! I just keep pumping money into this site without any player advantages at all!!!!""",Withdrawal/Cashout Issues
2553,11/5/2024,livechat,"""Deactivated""",Irrelevant/Other
5833,11/5/2024,livechat,"""Hello I was playing ur game crash and it just started taking my money and freezing and kept on repeat taking Money and starting to repeat I couldn't do nothing""",Gameplay/Technical Issues
6347,11/5/2024,livechat,"""Why in the fuck are you stealing my money? How come I haven’t been able to hit a bonus in over $1000?""",Bonuses/Promotions Issues
6348,11/5/2024,livechat,"""what promos can i have please""",Irrelevant/Other
5208,11/5/2024,livechat,"""and you never provide any customer support other than copy and paste messages""",Irrelevant/Other
5977,11/5/2024,livechat,"""slots* and I won’t accept the bull shit 20 cent free spins""",Bonuses/Promotions Issues
2403,11/5/2024,livechat,"""Please David""",Irrelevant/Other
5723,11/5/2024,livechat,"""And it still hasn't credited correct""",Irrelevant/Other
4847,11/5/2024,livechat,"""Theres nothing wrong with the bill""",Irrelevant/Other
6632,11/5/2024,livechat,"""It messed up on the last round I played""",Irrelevant/Other
6447,11/5/2024,livechat,"""Ok It’s up to u I’m cool""",Irrelevant/Other
1440,11/5/2024,telegram,"""Pending was blue before""",Irrelevant/Other
2613,11/5/2024,livechat,"""I was just in a chat with Paul, are you able to put me back on to him?""",Irrelevant/Other
5948,11/5/2024,livechat,"""Oh one more thing""",Irrelevant/Other
6315,11/5/2024,livechat,"""Oh hi there Mia!""",Irrelevant/Other
5213,11/5/2024,livechat,"""Hi. Can you put me with a live support agent please?""",Irrelevant/Other
2250,11/5/2024,livechat,"""Thank so much I really  appreciate  it""",Irrelevant/Other
1702,11/5/2024,livechat,"""Hello Harvey I need a new wallet address so I can deposit to the site for some reason it is not allowing me to send to that wallet anymore""",Deposit/Payment Issues
4327,11/5/2024,livechat,"""Have a great day I will let you go I could talk to you all day LOL""",Irrelevant/Other
3893,11/5/2024,livechat,"""Told you the winnings of the $25 was the final winning of all of the spins that triggered the free spins""",Bonuses/Promotions Issues
3105,11/5/2024,livechat,"""Without being disastrous right LOL never wanted to do that but I do want to display how I feel For someone to visualize very well in their mind""",Irrelevant/Other
5419,11/5/2024,livechat,"""Didnt get enough bonus of How much i deposit last day I think""",Deposit/Payment Issues
1183,11/5/2024,livechat,"""That's the screen shot if the block chain that shows that I successfully  deposited onto my account. And I waited till today to contact you guys, because I wasn't sure if the bonus came on right away, or if it came on the next day""",Account/Login Issues
1675,11/5/2024,livechat,"""The money has not been returned to my bank account""",Account/Login Issues
1468,11/5/2024,telegram,"""I don't see my deposit""",Deposit/Payment Issues
6564,11/5/2024,livechat,"""and sorry if I made you upset""",Irrelevant/Other
2754,11/5/2024,livechat,"""Hi I have a question about 200 free spins""",Bonuses/Promotions Issues
6634,11/6/2024,livechat,"""This  is my polish id""",Irrelevant/Other
1831,11/6/2024,livechat,"""This is only one of 200 spins am talking about""",Gameplay/Technical Issues
6689,11/6/2024,livechat,"""The Halloween voodoo""",Irrelevant/Other
5866,11/6/2024,livechat,""" this past week I put a lot of money into this casino""",Irrelevant/Other
6250,11/6/2024,livechat,"""I know I was betting real money ok""",Irrelevant/Other
6423,11/6/2024,livechat,"""yes it closed years ago - I will try and find where the money is now I have th bsb abs the account number""",Account/Login Issues
2414,11/6/2024,livechat,"""I wae just given 10 free spins plAyed them and won a big win on the free games then it said i was i fun mode and reissued 10 more spins why did you all reset te VC ame because won. This is the sec otime""",Bonuses/Promotions Issues
6255,11/6/2024,livechat,"""3.1.2 last 4 lines""",Irrelevant/Other
5984,11/6/2024,livechat,"""Okay so how do I request it.  Like 0.002 is too much but the 0.001 is only 71""",Irrelevant/Other
5942,11/6/2024,livechat,"""None of these apply to me""",Irrelevant/Other
6673,11/6/2024,livechat,"""Hello. Can you please add code 170mania bonus for me please. I made 2 separate deposits. Support said they would add it manually. I didn’t have enough after my first depoait""",Deposit/Payment Issues
6202,11/6/2024,livechat,"""no I click on the game gemza under rewards and it takes me to the game just doesn’t play the free spins""",Bonuses/Promotions Issues
6288,11/6/2024,livechat,"""I made a deposit of $30. And the rates must have changed at the very last second, and it's just barely under the minimum.Can you please push it through""",Deposit/Payment Issues
5556,11/6/2024,livechat,"""hey Nicholas""",Irrelevant/Other
2787,11/6/2024,livechat,"""I withdrew some money and was only supposed to allow me $100 but y'all let me withdraw $110. I thought y'all would take it and then I put more back in I just want to make sure this won't screw me like last time""",Withdrawal/Cashout Issues
5505,11/6/2024,livechat,"""on my account page""",Account/Login Issues
6573,11/6/2024,livechat,"""Oh ok      wow.""",Irrelevant/Other
5778,11/6/2024,livechat,"""Should I try again?""",Irrelevant/Other
5562,11/6/2024,livechat,"""Hi, I've deposited some ethereum but it has not credited my balance yet""",Deposit/Payment Issues
3614,11/6/2024,livechat,"""Can you please ask someone if something can be done here""",Irrelevant/Other
6833,11/6/2024,livechat,"""I tired to use the Wednesday special but it didn't work""",Irrelevant/Other
6062,11/6/2024,livechat,"""Simply a waste of of time for me to have explained or Elaborated the situation when you don’t give a damn let alone do anything about it""",Irrelevant/Other
3209,11/6/2024,livechat,"""So from $50 there was no win""",Irrelevant/Other
6607,11/6/2024,livechat,"""So at least I know the details are correct""",Irrelevant/Other
3041,11/6/2024,livechat,"""How much money have you guys taken so far from people who have not made the minimum deposit amount ? Millions?""",Deposit/Payment Issues
127,11/6/2024,telegram,"""Hahaha sweet, thanks""",Irrelevant/Other
1816,11/6/2024,livechat,"""Need to talk about my money""",Irrelevant/Other
2885,11/6/2024,livechat,"""COMPENSATE""",Irrelevant/Other
424,11/6/2024,telegram,"""where are the free spins i thought i got when i deposited""",Deposit/Payment Issues
2700,11/6/2024,livechat,"""I would like to ask for a refund. I played Wild Bingo and bet one time. I thought I was placing my second bet and then the 3rd one but it uped m,y bet instead to 15 bucks i thought i was pushing the button to spin not place a higher bet""",Deposit/Payment Issues
2976,11/6/2024,livechat,"""my account on skrill, i use 2 adresses one is primary the other one secondary i can use them both""",Account/Login Issues
127,11/6/2024,telegram,"""Your support is good""",Irrelevant/Other
2381,11/6/2024,livechat,"""Plus I don’t wanna have more than one and I thought I had one on my current email address I’d like to just make sure I only have one please forgive me""",Irrelevant/Other
1874,11/6/2024,livechat,"""Well this one has money on it""",Irrelevant/Other
2426,11/6/2024,livechat,"""I didn’t play yet""",Irrelevant/Other
1579,11/6/2024,livechat,"""could you tell me how many ltc confirmations I have""",Irrelevant/Other
6459,11/6/2024,livechat,"""another one""",Irrelevant/Other
107,11/6/2024,telegram,"""Is there something wrong with your games?""",Gameplay/Technical Issues
3232,11/6/2024,livechat,"""I’m good also , Okay thank you""",Irrelevant/Other
2656,11/6/2024,livechat,"""I still have not receive""",Irrelevant/Other
3048,11/6/2024,livechat,"""I know that I already opened a ticket. But meanwhile I feel scammed and I read I lots of forums, that there are many people with the same Problem and they Never saw the money back. They used all the same payment Method Like me""",Deposit/Payment Issues
